Frame Number,Id0,Id1,Id2,Id3,Id4,Id5,Id6,Id7,Id8
196,,,,,"[269.0, 137.0]",,,,
197,,,,,"[268.0, 143.0]",,,,
198,,,,,"[267.0, 148.0]",,,,
199,,,,,"[267.0, 153.0]",,,,
200,,,,,"[266.0, 159.0]",,,,
201,,,,,"[265.0, 165.0]",,,,
202,,,,,"[265.0, 170.0]",,,,
203,,,,,"[264.0, 176.0]",,,,
204,,,,,"[264.0, 181.0]",,,,
205,,,,,"[263.0, 187.0]",,,,
206,,,,,"[263.0, 193.0]",,,,
207,,,,,"[262.0, 197.0]",,,,
208,,,,,"[262.0, 203.0]",,,,
209,,,,,"[261.0, 208.0]",,,,
210,,,,,"[261.0, 213.0]",,,,
211,,,,,"[260.0, 219.0]",,,,
212,,,,,"[261.0, 207.0]",,,,
213,,,,,"[260.0, 211.0]",,,,
214,,,,,"[259.0, 214.0]",,,,
215,,,,,"[260.0, 218.0]",,,,
216,,,,,"[259.0, 223.0]",,,,
217,,,,,,,,,
218,,,,,,,,,
219,,,,,,,,,
220,,,,,,,,,
221,,,,,,,,,
222,,,,,,,,,
223,,,,,,,,,
224,,,,,,,,,
225,,,,,,,,,
226,,,,,,,,,
227,,,,,,,,,
228,,,,,,,,,
229,,,,,,,,,
230,,,,,,,,,
231,,,,,,,,,
232,,,,,,,,,
233,,,,,,,,,
234,,,,,,,,,
235,,,,,,,,,
236,,,,,,,,,
237,,,,,,,,,
238,,,,,,,,,
239,,,,,,,,,
240,,,,,,,,,
241,,,,,,,,,
242,,,,,,,,,
243,,,,,,,,,
244,,,,,,,,,
245,,,,,,,,,
246,,,,,,,,,
247,,,,,,,,,
248,,,,,,,,,
249,,,,,,,,,
250,,,,,,"[453.0, 219.0]",,,
251,,,,,,"[452.0, 213.0]",,,
252,,,,,,"[451.0, 207.0]",,,
253,,,,,,"[449.0, 200.0]",,,
254,,,,,,"[448.0, 194.0]",,,
255,,,,,,"[447.0, 187.0]",,,
256,,,,,,"[446.0, 181.0]",,,
257,,,,,,"[445.0, 174.0]",,,
258,,,,,,"[444.0, 168.0]",,,
259,,,,,,"[442.0, 162.0]",,,
260,,,,,,"[441.0, 155.0]",,,
261,,,,,,"[440.0, 148.0]",,,
262,,,,,,"[439.0, 142.0]",,,
263,,,,,,"[438.0, 135.0]",,,
264,,,,,,"[436.0, 129.0]",,,
265,,,,,,"[435.0, 122.0]",,,
266,,,,,,"[434.0, 116.0]",,,
267,,,,,,,,,
268,,,,,,,,,
269,,,,,,,,,
270,,,,,,,"[259.0, 118.0]",,
271,,,,,,,"[259.0, 122.0]",,
272,,,,,,,"[258.0, 125.0]",,
273,,,,,,,"[259.0, 126.0]",,
274,,,,,,,"[258.0, 132.0]",,
275,,,,,,,"[257.0, 137.0]",,
276,,,,,,,"[258.0, 140.0]",,
277,,,,,,,"[258.0, 142.0]",,
278,,,,,,,"[258.0, 147.0]",,
279,,,,,,,"[258.0, 148.0]",,
280,,,,,,,"[258.0, 154.0]",,
281,,,,,,,"[257.0, 157.0]",,
282,,,,,,,"[258.0, 155.0]",,
283,,,,,,,"[257.0, 160.0]",,
284,,,,,,,"[257.0, 163.0]",,
285,,,,,,,"[257.0, 170.0]",,
286,,,,,,,"[257.0, 168.0]",,
287,,,,,,,"[256.0, 172.0]",,
288,,,,,,,"[256.0, 175.0]",,
289,,,,,,,"[255.0, 180.0]",,
290,,,,,,,"[255.0, 183.0]",,
291,,,,,,,"[255.0, 186.0]",,
292,,,,,,,"[254.0, 189.0]",,
293,,,,,,,"[254.0, 193.0]",,
294,,,,,,,"[254.0, 197.0]",,
295,,,,,,,"[253.0, 200.0]",,
296,,,,,,,"[253.0, 204.0]",,
297,,,,,,,"[253.0, 207.0]",,
298,,,,,,,"[252.0, 210.0]",,
299,,,,,,,"[252.0, 213.0]",,
300,,,,,,,"[252.0, 217.0]",,
301,,,,,,,"[251.0, 221.0]",,
302,,,,,,,"[251.0, 224.0]",,
303,,,,,,,,,
304,,,,,,,,,
305,,,,,,,,,
306,,,,,,,,,
307,,,,,,,,,
308,,,,,,,,,
309,,,,,,,,,
310,,,,,,,,,
311,,,,,,,,,
312,,,,,,,,,
313,,,,,,,,,
314,,,,,,,,,
315,,,,,,,,,
316,,,,,,,,,
317,,,,,,,,,
318,,,,,,,,,
319,,,,,,,,,
320,,,,,,,,,
321,,,,,,,,,
322,,,,,,,,,
323,,,,,,,,,
324,,,,,,,,,
325,,,,,,,,,
326,,,,,,,,,
327,,,,,,,,,
328,,,,,,,,,
329,,,,,,,,,
330,,,,,,,,,
331,,,,,,,,,
332,,,,,,,,,
333,,,,,,,,,
334,,,,,,,,,
335,,,,,,,,,
336,,,,,,,,,
337,,,,,,,,,
338,,,,,,,,,
339,,,,,,,,,
340,,,,,,,,,
341,,,,,,,,,
342,,,,,,,,,
343,,,,,,,,,
344,,,,,,,,,
345,,,,,,,,,
346,,,,,,,,,
347,,,,,,,,"[453.0, 222.0]",
348,,,,,,,,"[452.0, 214.0]",
349,,,,,,,,"[450.0, 207.0]",
350,,,,,,,,"[449.0, 198.0]",
351,,,,,,,,"[447.0, 190.0]",
352,,,,,,,,"[446.0, 183.0]",
353,,,,,,,,"[444.0, 176.0]",
354,,,,,,,,"[443.0, 168.0]",
355,,,,,,,,"[442.0, 160.0]",
356,,,,,,,,"[441.0, 152.0]",
357,,,,,,,,"[439.0, 144.0]",
358,,,,,,,,"[437.0, 135.0]",
359,,,,,,,,"[436.0, 128.0]",
360,,,,,,,,"[434.0, 119.0]",
361,,,,,,,,,
362,,,,,,,,,
363,,,,,,,,,
364,,,,,,,,,
365,,,,,,,,,
366,,,,,,,,,
367,,,,,,,,,
368,,,,,,,,,
369,,,,,,,,,
370,,,,,,,,,
371,,,,,,,,,
372,,,,,,,,,
373,,,,,,,,,
374,,,,,,,,,
375,,,,,,,,,"[265.0, 117.0]"
376,,,,,,,,,"[264.0, 122.0]"
377,,,,,,,,,"[262.0, 127.0]"
378,,,,,,,,,"[261.0, 131.0]"
379,,,,,,,,,"[261.0, 135.0]"
380,,,,,,,,,"[259.0, 132.0]"
381,,,,,,,,,"[259.0, 139.0]"
382,,,,,,,,,"[259.0, 146.0]"
383,,,,,,,,,"[259.0, 152.0]"
384,,,,,,,,,"[258.0, 156.0]"
385,,,,,,,,,"[258.0, 162.0]"
386,,,,,,,,,"[258.0, 169.0]"
387,,,,,,,,,"[257.0, 176.0]"
388,,,,,,,,,"[256.0, 185.0]"
389,,,,,,,,,"[256.0, 194.0]"
390,,,,,,,,,"[255.0, 201.0]"
391,,,,,,,,,"[255.0, 196.0]"
392,,,,,,,,,"[255.0, 200.0]"
393,,,,,,,,,"[255.0, 203.0]"
394,,,,,,,,,"[254.0, 206.0]"
395,,,,,,,,,"[254.0, 210.0]"
396,,,,,,,,,"[254.0, 216.0]"
397,,,,,,,,,"[252.0, 224.0]"
398,,,,,,,,,
399,,,,,,,,,
400,,,,,,,,,
401,,,,,,,,,
402,,,,,,,,,
403,,,,,,,,,
404,,,,,,,,,
405,,,,,,,,,
406,,,,,,,,,
407,,,,,,,,,
408,,,,,,,,,
409,,,,,,,,,
410,,,,,,,,,
411,,,,,,,,,
412,,,,,,,,,
413,,,,,,,,,
414,,,,,,,,,
415,,,,,,,,,
416,,,,,,,,,
417,,,,,,,,,
418,,,,,,,,,
419,,,,,,,,,
420,,,,,,,,,
421,,,,,,,,,
422,,,,,,,,,
423,,,,,,,,,
424,,,,,,,,,
425,,,,,,,,,
426,,,,,,,,,
427,,,,,,,,,
428,,,,,,,,,
429,,,,,,,,,
430,,,,,,,,,
431,,,,,,,,,
432,,,,,,,,,
433,,,,,,,,,
